sample_id,category,correct,nudge_mode,trial_id,plan_item_count,plan_code_alignment,o_p_disagreement,nudge_triggered,nudge_count,nudge_reason,answer_detected_at_turn,crashed,execution_scalar,verbal_scalar,verbal_execution_disagree,drift_onset_turn,drift_onset_tokens,drift_onset_sec,re_anchor_turn,n_turns,total_tokens
qrdata_original_qrdata_0_0,verbal_execution_divergence,True,targeted,0,0,,,True,1,ends_with_next_steps,2,False,0.2,2.0,True,,,,,3,644.0
qrdata_original_qrdata_1_1,verbal_execution_divergence,True,targeted,0,0,,,True,1,ends_with_next_steps,2,False,0.23,2.0,True,,,,,3,773.0
qrdata_original_qrdata_2_2,early_exit_recovered,True,targeted,0,0,,,True,1,ends_with_next_steps,2,False,0.78,78.0,False,,,,,3,1103.0
qrdata_original_qrdata_3_3,verbal_execution_divergence,True,targeted,0,0,,,True,1,ends_with_next_steps,2,False,0.8,2.0,True,,,,,3,709.0
qrdata_original_qrdata_4_4,early_exit_recovered,True,targeted,0,0,,,True,2,ends_with_next_steps,,False,,,,,,,,4,988.0
qrdata_original_qrdata_5_5,clean,True,targeted,0,0,,,False,0,,1,False,1691.0,1691.0,False,,,,,2,283.0
qrdata_original_qrdata_6_6,verbal_execution_divergence,True,targeted,0,0,,,True,1,ends_with_next_steps,2,False,30.0,91.0,True,,,,,3,1790.0
qrdata_original_qrdata_7_7,verbal_execution_divergence,True,targeted,0,0,,,True,1,ends_with_next_steps,2,False,19.5,50.0,True,,,,,3,1922.0
qrdata_original_qrdata_8_8,verbal_execution_divergence,True,targeted,0,0,,,True,1,ends_with_next_steps,2,False,0.41,2.0,True,,,,,3,601.0
qrdata_original_qrdata_9_9,verbal_execution_divergence,True,targeted,0,0,,,True,1,ends_with_next_steps,2,False,0.06,2.0,True,,,,,3,653.0
qrdata_original_qrdata_10_10,clean,True,targeted,0,0,,,False,0,,1,False,0.15,15.0,False,,,,,2,447.0
qrdata_original_qrdata_11_11,early_exit_recovered,True,targeted,0,0,,,True,1,ends_with_next_steps,2,False,2.833919080695246e-08,0.0,False,,,,,3,1165.0
qrdata_original_qrdata_12_12,clean,True,targeted,0,0,,,False,0,,1,False,0.035,0.035,False,,,,,2,735.0
qrdata_original_qrdata_13_13,early_exit_recovered,True,targeted,0,0,,,True,1,ends_with_next_steps,2,False,2370.0,2370.0,False,,,,,3,854.0
qrdata_original_qrdata_14_14,early_exit_recovered,True,targeted,0,0,,,True,2,ends_with_next_steps,3,False,0.23,0.23,False,,,,,4,1735.0
qrdata_original_qrdata_15_15,verbal_execution_divergence,True,targeted,0,0,,,True,1,ends_with_next_steps,2,False,6.5,1.0,True,,,,,3,734.0
qrdata_original_qrdata_16_16,verbal_execution_divergence,True,targeted,0,0,,,True,1,ends_with_next_steps,2,False,42.14,3.0,True,,,,,3,708.0
qrdata_original_qrdata_17_17,verbal_execution_divergence,True,targeted,0,0,,,False,0,,1,False,0.61,0.0,True,,,,,2,436.0
qrdata_original_qrdata_18_18,verbal_execution_divergence,True,targeted,0,0,,,False,0,,1,False,0.0,3.0,True,,,,,2,543.0
qrdata_original_qrdata_19_19,verbal_execution_divergence,True,targeted,0,0,,,True,1,ends_with_next_steps,2,False,0.643,0.357,True,,,,,3,709.0
qrdata_original_qrdata_20_20,early_exit_recovered,True,targeted,0,0,,,True,1,ends_with_next_steps,2,False,0.141,14.1,False,,,,,3,698.0
qrdata_original_qrdata_21_21,early_exit_recovered,True,targeted,0,0,,,True,1,ends_with_next_steps,2,False,0.025,2.5,False,,,,,3,694.0
qrdata_original_qrdata_22_22,early_exit_recovered,True,targeted,0,0,,,True,1,ends_with_next_steps,2,False,0.62,62.0,False,,,,,3,849.0
qrdata_original_qrdata_23_23,early_exit_recovered,True,targeted,0,0,,,True,1,ends_with_next_steps,2,False,0.9,0.9,False,,,,,3,707.0
qrdata_original_qrdata_24_24,early_exit_recovered,True,targeted,0,0,,,True,1,ends_with_next_steps,2,False,0.33,33.0,False,,,,,3,687.0
qrdata_original_qrdata_25_25,verbal_execution_divergence,True,targeted,0,0,,,True,1,ends_with_next_steps,2,False,0.0,2.0,True,,,,,3,823.0
qrdata_original_qrdata_26_26,early_exit_recovered,True,targeted,0,0,,,True,1,ends_with_next_steps,2,False,0.65,65.0,False,,,,,3,670.0
qrdata_original_qrdata_27_27,early_exit_recovered,True,targeted,0,0,,,True,1,ends_with_next_steps,2,False,0.72,72.0,False,,,,,3,701.0
qrdata_original_qrdata_28_28,early_exit_recovered,True,targeted,0,0,,,True,1,ends_with_next_steps,2,False,0.51,51.0,False,,,,,3,721.0
qrdata_original_qrdata_29_29,early_exit_recovered,True,targeted,0,0,,,True,1,ends_with_next_steps,2,False,0.71,0.71,False,,,,,3,746.0
qrdata_original_qrdata_30_30,early_exit_recovered,True,targeted,0,0,,,True,1,ends_with_next_steps,2,False,0.68,68.0,False,,,,,3,722.0
qrdata_original_qrdata_31_31,early_exit_recovered,True,targeted,0,0,,,True,1,ends_with_next_steps,2,False,0.31,31.0,False,,,,,3,777.0
qrdata_original_qrdata_32_32,early_exit_recovered,True,targeted,0,0,,,True,1,ends_with_next_steps,2,False,0.117,0.117,False,,,,,3,746.0
qrdata_original_qrdata_33_33,early_exit_recovered,True,targeted,0,0,,,True,1,ends_with_next_steps,2,False,0.002,0.002,False,,,,,3,896.0
qrdata_original_qrdata_34_34,early_exit_recovered,True,targeted,0,0,,,True,1,ends_with_next_steps,2,False,0.69,69.0,False,,,,,3,854.0
qrdata_original_qrdata_35_35,clean,True,targeted,0,0,,,False,0,,1,False,4.4,4.4,False,,,,,2,497.0
qrdata_original_qrdata_36_36,clean,True,targeted,0,0,,,False,0,,1,False,0.832,83.2,False,,,,,2,514.0
qrdata_original_qrdata_37_37,verbal_execution_divergence,True,targeted,0,0,,,True,1,ends_with_next_steps,2,False,0.82,0.84,True,,,,,3,690.0
qrdata_original_qrdata_38_38,verbal_execution_divergence,True,targeted,0,0,,,True,1,ends_with_next_steps,2,False,0.012,21.0,True,,,,,3,752.0
qrdata_original_qrdata_39_39,early_exit_recovered,True,targeted,0,0,,,True,1,ends_with_next_steps,2,False,0.796,0.796,False,,,,,3,734.0
qrdata_original_qrdata_40_40,verbal_execution_divergence,True,targeted,0,0,,,True,1,ends_with_next_steps,2,False,0.843,0.05,True,,,,,3,715.0
qrdata_original_qrdata_41_41,verbal_execution_divergence,True,targeted,0,0,,,True,1,ends_with_next_steps,2,False,0.358,1.0,True,,,,,3,859.0
qrdata_original_qrdata_42_42,clean,True,targeted,0,0,,,False,0,,1,False,-0.027,-0.027,False,,,,,2,687.0
qrdata_original_qrdata_43_43,early_exit_recovered,True,targeted,0,0,,,True,1,ends_with_next_steps,2,False,0.006,0.006,False,,,,,3,1522.0
