sample_id,category,nudge_mode,trial_id,turn_index,phase,elapsed_sec,phase_sec,tokens_in_turn,cumulative_tokens,task_anchoring,has_code,has_execution_output,has_inspector_signals
qrdata_original_qrdata_0_0,verbal_execution_divergence,targeted,0,0,orchestrator,0.17,0.02,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_0_0,verbal_execution_divergence,targeted,0,1,workflow,4.74,4.57,336.0,336.0,0.536,True,True,True
qrdata_original_qrdata_0_0,verbal_execution_divergence,targeted,0,2,workflow,9.24,4.5,308.0,644.0,0.536,True,True,True
qrdata_original_qrdata_1_1,verbal_execution_divergence,targeted,0,0,orchestrator,0.15,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_1_1,verbal_execution_divergence,targeted,0,1,workflow,4.51,4.37,413.0,413.0,0.321,True,True,True
qrdata_original_qrdata_1_1,verbal_execution_divergence,targeted,0,2,workflow,8.54,4.03,360.0,773.0,0.377,True,True,True
qrdata_original_qrdata_2_2,early_exit_recovered,targeted,0,0,orchestrator,0.15,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_2_2,early_exit_recovered,targeted,0,1,workflow,30.64,30.49,618.0,618.0,0.265,True,True,True
qrdata_original_qrdata_2_2,early_exit_recovered,targeted,0,2,workflow,34.62,3.98,485.0,1103.0,0.388,True,True,True
qrdata_original_qrdata_3_3,verbal_execution_divergence,targeted,0,0,orchestrator,0.14,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_3_3,verbal_execution_divergence,targeted,0,1,workflow,5.3,5.16,388.0,388.0,0.286,True,True,True
qrdata_original_qrdata_3_3,verbal_execution_divergence,targeted,0,2,workflow,9.25,3.94,321.0,709.0,0.265,True,True,True
qrdata_original_qrdata_4_4,early_exit_recovered,targeted,0,0,orchestrator,0.17,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_4_4,early_exit_recovered,targeted,0,1,workflow,5.76,5.58,352.0,352.0,0.286,True,True,True
qrdata_original_qrdata_4_4,early_exit_recovered,targeted,0,2,workflow,10.15,4.39,335.0,687.0,0.327,True,True,True
qrdata_original_qrdata_4_4,early_exit_recovered,targeted,0,3,workflow,13.75,3.6,301.0,988.0,0.245,True,True,True
qrdata_original_qrdata_5_5,clean,targeted,0,0,orchestrator,0.16,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_5_5,clean,targeted,0,1,workflow,4.11,3.94,283.0,283.0,0.818,True,True,True
qrdata_original_qrdata_6_6,verbal_execution_divergence,targeted,0,0,orchestrator,0.15,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_6_6,verbal_execution_divergence,targeted,0,1,workflow,10.97,10.82,1568.0,1568.0,0.333,True,True,True
qrdata_original_qrdata_6_6,verbal_execution_divergence,targeted,0,2,workflow,14.31,3.34,222.0,1790.0,0.31,True,True,True
qrdata_original_qrdata_7_7,verbal_execution_divergence,targeted,0,0,orchestrator,0.17,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_7_7,verbal_execution_divergence,targeted,0,1,workflow,13.29,13.11,1587.0,1587.0,0.326,True,True,True
qrdata_original_qrdata_7_7,verbal_execution_divergence,targeted,0,2,workflow,16.71,3.42,335.0,1922.0,0.326,True,True,True
qrdata_original_qrdata_8_8,verbal_execution_divergence,targeted,0,0,orchestrator,0.16,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_8_8,verbal_execution_divergence,targeted,0,1,workflow,3.35,3.19,367.0,367.0,0.343,True,True,True
qrdata_original_qrdata_8_8,verbal_execution_divergence,targeted,0,2,workflow,5.87,2.52,234.0,601.0,0.371,True,True,True
qrdata_original_qrdata_9_9,verbal_execution_divergence,targeted,0,0,orchestrator,0.18,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_9_9,verbal_execution_divergence,targeted,0,1,workflow,4.71,4.53,387.0,387.0,0.459,True,True,True
qrdata_original_qrdata_9_9,verbal_execution_divergence,targeted,0,2,workflow,8.34,3.64,266.0,653.0,0.405,True,True,True
qrdata_original_qrdata_10_10,clean,targeted,0,0,orchestrator,0.16,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_10_10,clean,targeted,0,1,workflow,27.36,27.19,447.0,447.0,0.514,True,True,True
